Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
printerStatus.headEPositionLabel	E	E	E	E	E		E	E	E	Cooling Bed	E	E	E			E	E	E							E		E	E	E
printerStatus.headXPositionLabel	X	X	X	X	X		X	X	X	Heating Nozzle	X	X	X			X	X	X							X		X	X	X
printerStatus.headYPositionLabel	Y	Y	Y	Y	Y		Y	Y	Y	Ambiente	Y	Y	Y			Y	Y	Y							Y		Y	Y	Y
printerStatus.headZPositionLabel	Z	Z	Z	Z	Z		Z	Z	Z	Cama	Z	Z	Z			Z	Z	Z							Z		Z	Z	Z
printerStatus.idle	Idle				au repos					Injector			Inaktiv				Бездействие								Im Leerlauf		Nečinný	Toimeton	アイドル
printerStatus.Nozzle1ControlLabel	0.3mm (T0)	0.3mm喷嘴	0.3mm(T0)	Ugello da 0,3 mm	Buse 0,3 mm		0.3mm(T0)	0,3 mm (T0)	0,3mm Düse	\u00baC	Bocal de 0,3 mm	Bico de 0,3 mm	0,3mm (T0)			0.3mm mondstuk	0,3 мм (Т0)	0.3mm(T0)							0,3 mm (T0)		0,3 mm (T0)	0,3mm (T0)	0.3mm(T0)
printerStatus.Nozzle2ControlLabel	0.8mm (T1)	0.8mm喷嘴	0.8mm(T1)	Ugello da 0,8mm	Buse 0,8 mm		0.8mm (T1)	0,8 mm (T1)	0,8mm Düse	Tiempo	Bocal de 0,8 mm	Bico de 0,8 mm	0,8mm (T1)			0.8mm mondstuk	0,8 мм (Т1)	0.8mm(T1)							0,8 mm (T1)		0,8 mm (T1)	0,8mm (T1)	0.8mm(T1)
printerStatus.NozzleCloseLabel	Close	关闭	關閉	Chiuso	Fermer		닫음	Schließen	Schließen	Temperatura:	Fechar	Fechar	Stäng			Sluiten	Закрыть	クローズ							Schließen		Zavřít	Sulje	クローズ
printerStatus.NozzleHomeLabel	Home	复位	主頁	Home	Accueil		홈	Home	Home	Cuidado! Cama de impresión caliente!	Home	Início	Hem			Thuis	Домой	ホーム							Home		Výchozí poloha	Koti	ホーム
printerStatus.NozzleNudgeClosedLabel	< 1	喷嘴微调关闭< 1	< 1	< 1	< 1		< 1	< 1	< 1	N/A	< 1	< 1	<1			< 1	< 1	< 1							< 1		< 1	<1	< 1
printerStatus.NozzleNudgeOpenLabel	> 1	喷嘴微调打开> 1	> 1	> 1	> 1		> 1	> 1	> 1	Frío	> 1	> 1	>1			> 1	> 1	> 1							> 1		> 1	>1	> 1
printerStatus.NozzleOpenLabel	Open	打开	打開	Aperto	Ouvrir		개방	Offen	Öffnen	Estado	Abrir	Abrir	Öppna			Open	Открыть	オープン							Offen		Otevřít	Avaa	オープン
printerStatus.openingDoor	Opening Door																												
printerStatus.pausing	Pausing																												
printerStatus.paused	Paused																												
printerStatus.postProcessing	Post Processing																												
printerStatus.printing	Printing				Impression																				Drucken		Tisk		
printerStatus.printerBedHeating	Bed Heating	打印床加热	打印床加熱中		châssis en chauffe		베드 가열	Bettheizung		Ejecutando comando Robox			Uppvärmning av bädden				Нагрев платформы	印刷台加熱							Bettheizung		Ohřívání podložky	Alustan lämmitys	印刷台加熱
printerStatus.printerCooling	Bed Cooling	打印床冷却	打印床冷卻中		Refroidissement châssis		베드 냉각	Bettkühlung		Ocioso			Kylning av bädden				Охлаждение платформы	印刷台冷却							Bettkühlung		Chlazení podložky	Alustan jäähdytys	印刷台冷却
printerStatus.printerNozzleHeating	Nozzle Heating	打印头加热	噴咀加熱中		Jet en chauffe		노즐 가열	Düsenbeheizung		Pausado			Uppvärmning av munstycket				Нагрев сопла	ノズル加熱							Düsenbeheizung		Tryska se ohřívá	Suuttimen lämmitys	ノズル加熱
printerStatus.purging	Purging				purgation					Post procesamiento del modelo			Rengör				Очистка								Reinigen		Čištění	Puhdistetaan	
printerStatus.printSpeedMultiplierLabel	Speed x				Vitesse x																				Geschwindigkeit x		Rychlost x		
printerStatus.removingHead	Preparing for Head removal																												
printerStatus.resuming	Resuming																												
printerStatus.slicing	Slicing																												
printerStatus.sendingToPrinter	Transferring data to printer																												
printerStatus.temperatureGraphAmbientLabel	Ambient	环境	環境		Ambiant		실내	Umgebung		Imprimiendo			Omgivning				Окружающий	環境							Umgebung		Okolní	Ympäristö	環境
printerStatus.temperatureGraphKey	Key:				Clef								Tangent:				Ключ:								Legende:		Klíč	Näppäin:	
printerStatus.temperatureGraphBedLabel	Bed	打印床	床		Châssis		베드	Bett		Transfiriendo datos a la impresora			Bädd				Платформа	印刷台							Bett		Podložka	Alusta	印刷台
printerStatus.temperatureGraphMinutes	Mins				Mins								Min				Мин								Min		Minuty	Min	
printerStatus.temperatureGraphNow	Now				Maintenant								Nu				Сейчас								Jetzt		Teď	Nyt	
printerStatus.temperatureGraphNozzleLabel	Nozzle	打印头	噴咀		Jet		노즐	Düse		Cortando modelo			Munstycke				Сопло	ノズル							Düse		Tryska	Suutin	ノズル
printerStatus.temperatureGraphTempAxisTitle	Temperature (\u00b0C)	溫度 (\u00b0C)	溫度 (\u00b0C)		Temperature (\u00b0C)		온도(\u00baC)	Temperatur (\u00b0C)		Cancelar			Temperatur (\u00b0C)				\u00baC	\u00baC							Temperatur (\u00b0C)		Teplota (\u00b0C)	Lämpötila (\u00b0C)	\u00baC
printerStatus.temperatureGraphTimeAxisTitle	Time	时间	時間		Temps		시간	Zeit		Nuevo			Tid				Время	時間							Zeit		Doba	Aika	時間
printerStatus.temperatureGraphTitle	Temperature	温度	溫度		Temperature		온도	Temperatur		Abrir			Temperatur				Температура	気温							Temperatur		Teplota	Lämpötila	気温
printerStatus.temperatureWarning	Warning! Print bed hot!	警告！打印床热！	警告!打印床高溫!		Attention! Châssis brulante		경고! 프린트 베드 고온상태!	Warnhinweis! Druckbett ist heiß!		Crear o cargar proyecto			Varning! Bädden het!				Внимание! Печатная платформа горячая!	警告！　印刷台が熱い！							Warnhinweis! Druckbett ist heiß!		Varování! Stavební podložka je horká!	Varoitus! Kuuma alusta!	警告！　印刷台が熱い！
printerStatus.tempOutOfRangeHigh	N/A	不适用	N/A		N / A		해당없음	N/A		Sin título			Inte tillgängligt				Н/Д	非適用							N/A		Neplatí	Ei saatavilla	非適用
printerStatus.tempOutOfRangeLow	Cold	冷	冷		Froid		냉각	Kalt		Purgación fallida			Kall				Холодный	冷たい							Kalt		Chladná	Kylmä	冷たい
printerStatusTabTitle	Status	状态	狀態	Status	État		상태	Status	Status	Calentando…	Estado	Estado	Status			Status	Статус	ステータス							Status		Stav	Tila	ステータス
PrintQueue.Error	Error	错误	錯誤		Erreur		오류	Fehler		Purga en proceso			Fel				Ошибка	エラー							Fehler		Chyba	Virhe	エラー
PrintQueue.ExecutingMacro	Running Robox Command	运行Robox命令	運行Robox指令		commande Rbox en cours d'exécution		Robox 명령 실행	Robox-Kommando ausführen		Procesado			Robox-kommando igång				Запуск команды Robox	Roboxコマンドの実行							Robox-Kommando ausführen		Běží příkaz Robox	Robox-komento käynnissä	Roboxコマンドの実行
PrintQueue.Idle	Idle	空闲的	閒置		Au repos		사용하지 않은	Frei		Purga complatada			Inaktiv				Холостой	アイドル							Frei		Nečinný	Valmiustilassa	アイドル
PrintQueue.Paused	Paused	停下	暫停		Pause		일시정지	Pausierend		La purga limpia los materiales del cabezal de impresión. Esta operación es recomendada cuando se cambian materiales de impresión (Por ejemplo, de ABS a PLA)			Pausad				Приостановлено	一時停止							Pausierend		Pozastaveno	Keskeytetty	一時停止
PrintQueue.PostProcessing	Post processing model	后期处理模型	後期處理模型		Modele en post traintement		사후 프로세싱 모델	Modell nachbearbeiten		Temperatura actual del material			Efterbearbetar modellen				Постобработка модели	プロセッシング後のモデル							Modell nachbearbeiten		Následné zpracování modelu	Jälkikäsitellään mallia	プロセッシング後のモデル
PrintQueue.Printing	Printing	打印中	打印中		Impression		프린팅	Drucken		El inyector será calentado a la temperatura de purga mostrada debajo.			Skriver ut				Печать	印刷中							Drucken		Tiskařství	Tulostetaan	印刷中
PrintQueue.SendingToPrinter	Transferring data to printer	数据传输到打印机	傳輸數據至打印機中		Transfer des donnés a l’imprimante		데이터 프린터로 전송하기	Übertragen von Daten zum Drucker		Última temperatura de material			Överför data till skrivaren				Передача данных на принтер	プリンターにデータを転送する							Übertragen von Daten zum Drucker		Přenášení dat do tiskárny	Siirretään tietoja tulostimeen	プリンターにデータを転送する
PrintQueue.Slicing	Slicing model	分层模型	模型分層中		Tranchage du modele		슬라이싱 모델	Modell schneiden		Proceder			Skivar modellen				Нарезать модель	モデルをスライシングする							Modell schneiden		Úprava modelu pro tisk	Viipaloidaan mallia	モデルをスライシングする
projectLoader.cancelButtonLabel	Cancel	取消	取消	Cancella	Annuler		취소	Abbrechen	Abbrechen	Purgar temperatura	Cancelar	Cancelar	Avbryt			Afbreken	Отмена	キャンセルする							Abbrechen		Zrušit	Peruuta	キャンセルする
projectLoader.newButtonLabel	New	新	新	Nuovo	Nouveau		신규	Neu	Neu	Compenzar purga	Novo	Novo	Ny			Nieuw	Новый	新しい							Neu		Nový	Uusi	新しい
projectLoader.openButtonLabel	Open	打开	打開	Aperto	Ouvrir		개방	Offen	Öffnen	Este test va a calibrar el punto de apertura de la aguja. Necesitará material del SmartRell cargado en la Robox, y un par de pinzas. El test alimentará el cabezal de material y lo derretirá. Para cada válvula, se le preguntará si hay material saliendo de la misma. El test abrirá el inyector en incrementos pequeños y le consultará en cada etapa por salida de material. Una vez que haya confirmado que el material está saliendo, la configuración de la válvulas se guardará y el test continuará. 	Abrir	Abrir	Öppna			Open	Открыть	オープン							Offen		Otevřít	Avaa	オープン
projectLoader.title	Create or load project	创建或导入模型	創建或載入模型	Crea o carica un progetto	Créer ou charger un projet		프로젝트 생성 또는 로딩	Projekt erzeugen oder laden	Projekt erstellen oder laden	Profundidad	Criar ou carregar projecto	Criar ou carregar projeto	Skapa eller ladda projekt			Maak of laad project	Создать или загрузить проект	モデルを製造するかまたは搭載する							Projekt erzeugen oder laden		Vytvořit nebo načíst projekt	Luo tai lataa projekti	モデルを製造するかまたは搭載する
projectLoader.untitled	Untitled	未命名	未命名		Untitled		타이틀 없음	Unbenannt		Altura			Namnlös				Без названия	タイトル無し							Unbenannt		Bez názvu	Nimeämätön	タイトル無し
purgeMaterial.failed	Purge failed	清除物料失敗	清除失敗		Echec de la purge		퍼지 실패	Reinigung fehlgeschlagen		Datos del modelo			Rengöring misslyckades				Продувка не удалась								Reinigung fehlgeschlagen		Pročištění neuspělo	Puhdistus epäonnistui	パージ失敗
purgeMaterial.heating	Heating...	加热中…	加熱中…		En chauffe		가열	Heizen...		Nombre del modelo			Värmer upp…				Нагрев…								Heizen...		Ohřívá se...	Lämmitetään…	ヒーティング
purgeMaterial.inProgress	Purge in progress...	清除物料進行中…	清除物料進行中…		Purge en cours		퍼지 진행중	Reinigung im Gange...		No hay modelos cargados			Rengöring igång…				Идет продувка…								Reinigung im Gange...		Pročištění probíhá...	Puhdistus käynnissä…	パージ中
purgeMaterial.proceed	Proceed	已完成	進行		Proceder		진행하다	Fortfahren		Posición			Fortsätt				Продолжить								Fortfahren		Pokračovat	Jatka	続ける
purgeMaterial.purgeComplete	Purge complete	清除完成	清除完成		Purge terminé		퍼지 완료	Reinigung abgeschlossen		Rotación			Rengöring klar				Продувка завершена								Reinigung abgeschlossen		Pročištění dokončeno	Puhdistus valmis	パージ終了
purgeMaterial.explanation	Purging clears material from the print head. This operation is recommended when changing print materials (e.g. from ABS to PLA).	清除物料功能会清除打印头內的物料。建议在更换物料后执行此功能。(例: 由ABS更换到PLA)	清除打印頭中物料｡此操作建議轉換膠線耗材(如:ABS轉PLA)時使用｡		Purgation de matière claire venant de la tête d’impression, cette operation est conseillé lors du changement de matière (e.x. de L’ABS au PLA)		퍼지는 헤드에 있는 소재를 청소해줍니다. 이 항목은 소재 교체시  추천합니다.(예.ABS에서 PLA로)	Reinigen entfernt Material vom Druckkopf. Diese Operation wird empfohlen, wenn die Druckmaterialien gewechselt werden (z. B. von ABS zu PLA).		Escala			Rengöringen avlägsnar material från skrivhuvudet. Denna operation är bra att uföra när utskriftsmaterialet byts ut (t.ex. från ABS till PLA).				Продувка очищает материал из печатающей головки. Эта операция рекомендуется при смене печатных материалов (например, с ABS на PLA).								Reinigen entfernt Material vom Druckkopf. Diese Operation wird empfohlen, wenn die Druckmaterialien gewechselt werden (z. B. von ABS zu PLA).		Pročištěním se odstraní materiál z tiskové hlavy. Tato operace se doporučuje při změně tiskového materiálu (například z ABS na PLA).	Puhdistus poistaa materiaalia tulostuspäästä. Tämä operaatio on hyvä suorittaa kun tulostusmateriaalia vaihdetaan (esim. ABS:ta PLA:n).	パージはノズルからフィラメントを除去します。樹脂の種類を変更する際に行うことを推奨致します。
purgeMaterial.currentTemperature	Current material temperature	当前物料温度	現時物料溫度		Temperature actuelle de la matière		현재 소재 온도	Gegenwärtige Materialtemperatur		Tamaño			Nuvarande temperatur i materialet				Текущая температура материала								Gegenwärtige Materialtemperatur		Aktuální teplota materiálu	Tämänhetkinen materiaalin lämpötila	現在の樹脂の温度
purgeMaterial.temperatureInstruction	The nozzle will be heated to the purge temperature shown below.	喷嘴将会加热到以下显示的清除温度。	噴咀會被加熱至以下所示清除溫度		Le jet d’impression sera chauffé a hauteur de la temperature de purge indiqué ci-dessous.		노즐이 아래 보여지는 퍼지 온도까지 히팅될 것입니다	Die Düse wird bis zur unten angezeigten Reinigungstemperatur aufgeheizt.		Disposición			Munstycket värms till nedan visade				Сопло будет нагрето до температуры продувки, указанной ниже.								Die Düse wird bis zur unten angezeigten Reinigungstemperatur aufgeheizt.		Tryska se ohřeje na teplotu pročištění uvedenou níže.	Suutin lämmitetään alla näkyvään lämpötilaan puhdistusta varten.	ノズルは下記のパージ温度まで上昇します
purgeMaterial.lastTemperature	Last material temperature	上次物料温度	最後物料溫度		Temperature de la matière precedente		마지막 소재의 온도	Letze Materialtemperatur		Tranformación			Senaste temperatur i materialet				Последняя температура материала								Letze Materialtemperatur		Poslední teplota materiálu	Viimeisin materiaalin lämpötila	最後に利用した樹脂の温度
purgeMateral.proceed	Proceed	已完成	進行		Poursuivre		진행하다	Fortfahren		Ancho			Fortsätt				Продолжить								Fortfahren		Pokračovat	Jatka	続ける
purgeMaterial.purgeTemperature	Purge temperature	清除温度	清除溫度		Temperature de purge		퍼지 온도	Reinigungstemperatur		Eje X			Rengöringstemperatur				температура продувки								Reinigungstemperatur		Teplota pročištění	Puhdistuslämpötila	パージの温度
purgeMaterial.StartPurge	Start Purge	开始清除	開始清除		Commencer la purge		퍼지 시작	Reinigung starten		Eje Y			Starta rengöring				Начало продувки								Reinigung starten		Zahájit pročištění	Aloita puhdistus	パージを開始する
readyToBeginNozzleOpeningCalibration	This test will calibrate the needle valve open point. You will need a SmartReel material loaded into the Robox, and a pair of tweezers. The test will feed material to the head and melt it. For each valve you will be asked if there is material flowing out, the test will open the nozzle in small increments and ask you to check at each stage for material flow. Once you have confirmed it is flowing the values will be saved and the test will move on. 	本试验将校准针阀开点。你需要将线圈装入robox，并准备一个镊子。测试会将耗材融化。每个阀将问你是否有丝流出，测试将由小到大的增量打开喷嘴，让你在每一个阶段检查是否有丝流出。一旦你确认它是有丝流出的，打开值将被保存，测试将继续。	這個測試將會校正噴咀的開關點。您會需要安裝SmartReel材料到ROBOX中和一把小夾鉗。這個測試會輸送和熔化物料。測試會詢問您物料有否從各個噴咀中出來，測試會每次逐漸打開閥門然後詢問您物料有否流出。當您確認物料開始流出時，該開關點便會儲存然後繼續測試。		Ce test va calibrer le point d’ouverture la valve aiguille. Vous allez avoir besoin de filament SmartReel chargé dans Robox, et d’une pince a épiler. Le test va permettre d’alimenter la te d’impression en matière qui ensuite la fera fondre. Pour chaque valves nous allons vous demander si de la matière s’en écoule. Après confirmation que la matière s’écoule les valeurs seront sauvegardées et le test pour continuer.		이 테스트는 니들 밸브 오픈 지점을 측정합니다. ROBOX에 로딩된 SmartReel  소재와  핀셋이 필요합니다. 소재를 헤드 쪽으로 공급하여 이것을 녹이는  테스트입니다. 각 밸브마다 소재가 제대로 흘러나오는지 확인이 필요하며,  노즐은 작은 단위로 열리게 됩니다. 또한 각 단계마다 소재의 흐름을 체크 해야 합니다.. 소재가 제대로 흐르고 있는지 확인 완료한 경우, 밸브는 저장되고  테스트는 계속 진행됩니다.	Mit diesem Test wird die Offenstellung des Nadelventils kalibriert. Sie müssen SmartReel-Material in den Robox einlegen und eine Pinzette bereithalten. Während des Tests wird Material zum Kopf geführt und geschmolzen. Bei jedem Ventil werden Sie gefragt, ob Material austritt. Während des Tests werden die Düse in kleinen Schritten geöffnet und Sie gebeten, in jeder Phase zu überprüfen, ob Material austritt. Sobald Sie bestätigt haben, dass Material fließt, werden die Werte gespeichert und der Test weitergeführt.		Controles Avanzados			Detta test kalibrerar öppningspunkten av nålventilen. Säkra att SmartReel materialet är installerat, du behöver en pincett. Testet matar material till skrivhuvudet och smälter det. Vid varje ventil blir du frågad ifall material pressas ut, testet öppnar munstycket en liten bit i taget och ber dig kontrollera flödet av material i varje steg. När du har bekräftat att material strömmar ur munstycket, sparas värden och testet fortsätter.				Этот тест откалибрует отверстие в игольчатом клапане. Вам понадобится материал SmartReel, загруженный в Robox, и пинцет. Материал будет подаваться на головку для расплавления. Для каждого клапана тест спросит, течет ли из него материал. Сопло будет приоткрываться поэтапно, и тест на каждом этапе будет спрашивать, течет ли из сопла материал. После подтверждения того, что материал вытекает, значения будут сохранены и тест будет продолжаться дальше.	この試験はニードルをキャリブレートします							Mit diesem Test wird die Offenstellung des Nadelventils kalibriert. Sie müssen SmartReel-Material in den Robox einlegen und eine Pinzette bereithalten. Während des Tests wird Material zum Kopf geführt und geschmolzen. Bei jedem Ventil werden Sie gefragt, ob Material austritt. Während des Tests werden die Düse in kleinen Schritten geöffnet und Sie gebeten, in jeder Phase zu überprüfen, ob Material austritt. Sobald Sie bestätigt haben, dass Material fließt, werden die Werte gespeichert und der Test weitergeführt.		Tato zkouška provede kalibraci bodu otevření jehlového ventilu. Budete potřebovat mít cívku SmartReel vloženou do tiskárny a pinzetu. Tato zkouška posune materiál do hlavy a roztaví jej. U každého ventilu budete dotázáni, zda z něj materiál vychází; tryska se bude v malých krocích otevírat a vy v každé fázi zkontrolujete průtok materiálu. Jakmile se ujistíte, že materiál protéká, budou hodnoty uloženy a zkouška bude pokračovat dále.	Tämä testi kalibroi neulaventtiilin aukeamiskohdan. Varmista että SmartReel materiaali on asennettuna koneeseen, tarvitset pinsetit. Testi syöttää materiaalia tulostuspäähän ja sulattaa sen. Jokaisen venttiilin kohdalla sinulta kysytään pusertuuko materiaalia ulos, testi avaa suuttimen vähän kerrallaan ja pyytää sinua tarkistamaan materiaalin virtauksen kussakin vaiheessa. Kun olet vahvistanut että materiaali virtaa suuttimesta, arvot tallennetaan ja testi jatkuu.	この試験はニードルをキャリブレートします
reelPanel.ambient	Ambient				Ambiant								Omgivande				Окружающая среда								Umgebung		Okolní	Ympäröivä	
reelPanel.bed	Bed				Châssis								Bädd				Платформа								Bett		Podložka	Alusta	
reelPanel.diameter	Diameter				Diamètre								Diameter				Диаметр								Durchmesser		Průměr	Halkaisija	
reelPanel.feedRate	Feed rate				Vitess d'alimentation								Matningshastighet				Скорость подачи								Vorschubgeschwindigkeit		Míra posunu struny	Syöttönopeus	
reelPanel.filamentID	Filament ID				Id du filament								Filament ID				ID нити								Filament-ID		ID struny	Filamentti ID	
reelPanel.firstLayerBed	First layer bed				Premiere couche sur châssis.								Första lagrets bädd				Первый слой на платформе								Bett der ersten Schicht		První vrstva podložka	Ensimmäisen kerroksen alusta	
reelPanel.firstLayerNozzle	First lyr nozzle				Premiere couche du jet								Första lagrets munstycke				Первый слой сопла								Düse der ersten Schicht 		Tryska první vrstvy	Ensimmäisen kerroksen suutin	
reelPanel.multiplier	Multiplier				Multiplicateur								Multiplikator				Множитель								Multiplikator		Násobitel	Kerrannaisvaikutus	
reelPanel.nozzle	Nozzle				Jet								Munstycke				Сопло								Düse		Tryska	Suutin	
reelPanel.remaining	Remaining				Restant								Återstående				Оставшееся								Übrig		Zbývající	Jäljellä	
reelPanel.saveAsNewFilament	Save As New Filament				Sauvegarder comme nouveau filament								Spara som nytt filament				Сохранить как новую нить								Als neues Filament speichern		Uložit jako nová struna	Tallenna uutena filamenttina	
reelPanel.temperature	Temperature				Temperature								Temperatur				Температура								Temperatur		Teplota	Lämpötila	
reelPanel.writeKnownFilament	Write A Known Filament To The Reel				Ecriture d’un filament connue sur la bobine								Skriv ett känt filament till rullen				Записать известную нить в катушку								Bekanntes Filament auf die Spule schreiben		Zapsat známou strunu do cívky	Kirjoita tunnettu filamentti kelalle	
reelPanel.writeToReel	Write To Reel				Ecriture sur bobine								Skriv till rullen				Записать на катушку								Auf die Spule schreiben		Zapsat do cívky	Kirjoita kelalle	
removeHead.failed	The head removal routine failed - you may continue using the printer.				Echec de la routine d’enlèvement des tetes					Ambiente			Skrivarhuvudets avlägsningsrutin misslyckades - du kan fortsätta användningen av skrivaren.				Процедура снятия головки не выполнена. Вы можете продолжить, используя принтер.								Die Routine zum Entfernen des Druckkopfes ist gescheitert - Sie können mit der Nutzung des Druckers fortfahren.		Úloha odstranění hlavy selhala - můžete dál používat tiskárnu.	Tulostuspään poistorutiini epäonnistui - voit jatkaa tulostimen käyttämistä.	
removeHead.finished	Switch off the printer and remove the head.				Eteindre l’imprimante et enlever la tête					Cama			Stäng av skrivaren och avlägsna skrivarhuvudet.				Выключение принтера и снятие головки.								Schalten Sie den Drucker aus und entfernen Sie den Druckkopf.		Vypněte tiskárnu a odstraňte hlavu	Sammuta tulostin ja poista tulostuspää.	
removeHead.title	Remove Head				Enlever la tête					Conectado			Avlägsan skrivarhuvudet				Снять головку								Druckkopf entfernen		Odstranit hlavu	Poista tulostuspää	
sidePanel_layout.DepthLabel	Depth	深度	深度	Profondità	Profondeur		깊이	Tiefe	Tiefe	Puerta:	Profundidade	Profundidade	Djup			Diepte	Глубина	奥行き							Tiefe		Hloubka	Syvyys	奥行き
sidePanel_layout.HeightLabel	Height	高度	高度	Altezza	Hauteur		높이	Höhe	Höhe	Ventilador	Altura	Altura	Höjd			Hoogte	Высота	高さ							Höhe		Výška	Korkeus	高さ
sidePanel_layout.ModelDataLabel	Model Data:	模型数据	模型數據	Dati modello:	Données du modèle :		모델 데이터:	Modell-Daten:	Modell Daten:	Filamento cargado	Dados do modelo a imprimir:	Dados do modelo	Modelldata:			Model gegevens	Данные модели:	モデルデータ							Modell-Daten:		Data modelu:	Mallin tiedot:	モデルデータ
sidePanel_layout.ModelNameLabel	Model name	模型名称	模型名稱	Nome modello	Nom du modèle		모델명	Modellname	Modellname	Filamento no cargado	Nome do modelo a imprimir	Nome do modelo	Modellnamn			Modelnaam	Имя модели:	モデルネーム							Modellname		Název modelu:	Mallin nimi	モデルネーム
sidePanel_layout.noModelsLoaded	No models loaded	未导入模型	沒有模型載入	Nessun modello caricato	Aucun modèle chargé		로딩된 모델 없음	Keine Modelle geladen	Kein Modell geladen	Carrete de Filamento:	Nenhum modelo carregado	Nenhum modelo carregado	Inga modeller laddade			Geen model geladen	Нет загруженных моделей	モデルの搭載無し							Keine Modelle geladen		Není načten žádný model	Ei ladattuja malleja	モデルの搭載無し
sidePanel_layout.PositionLabel	Position	位置	位置	Posizione	Position		위치	Position	Position	No hay cabeza de impresión	Posição	Posição	Position			Positie	Положение	位置							Position		Poloha	Paikka	位置
sidePanel_layout.RotationLabel	Rotation	旋转	旋轉	Rotazione	Rotation		회전	Achsendrehung	Rotation	Cabeza de Impresión:	Rotação	Rotação	Rotation			Rotatie	Вращение	回転							Achsendrehung		Rotace	Kierto	回転
sidePanel_layout.ScaleLabel	Scale	比例缩放	比例縮放	Scala	Échelle		스케일	Maßstab	Skalierung	Calentador	Escala	Escala	Skala			Schaal	Шкала	倍率							Maßstab		Stupnice	Skaala	倍率
sidePanel_layout.SizeLabel	Size	尺寸	尺寸	Dimensioni	Taille		사이즈	Größe	Größe	No hay impresoras conectadas	Dimensões	Dimensões	Storlek			Maat	Размер	寸法							Größe		Velikost	Koko	寸法
sidePanel_layout.title	Layout	布局（规划）	佈局		Disposition		레이아웃	Layout		Desconectado			Layouten				Расположение	レイアウト							Layout		Rozložení	Pohjapiirros	レイアウト
sidePanel_layout.TransformLabel	Transform	转换	變形		Transformer		변환	Transformieren		Inyector			Omvandla				Трансформировать	変換							Transformieren		Převést	Muunna	変換
sidePanel_layout.WidthLabel	Width	宽度	寬度	Ampiezza	Largeur		너비	Breite	Breite	Impresora	Largura	Largura	Bredd			Breedte	Ширина	幅							Breite		Šířka	Leveys	幅
sidePanel_layout.XAxisLabel	X Axis	X轴	X軸	Asse X	Axe X		X 축	X-Achse	X-Achse	Nombre de la impresora	Eixo X	Eixo X	X-axel			X-as	Ось X	X 軸							X-Achse		Osa X	X-akseli	X 軸
sidePanel_layout.YAxisLabel	Y Axis	Y轴	Y軸	Asse Y	Axe Y		Y 축	Y-Achse	Y-Achse	Estado:	Eixo Y	Eixo Y	Y-axel			Y-as	Ось Y	Y 軸							Y-Achse		Osa Y	Y-akseli	Y 軸
sidePanel_printerStatus.advancedPrinterControlsLabel 	Advanced Controls	高级选项	高級選項	 Controlli avanzati	Commandes avancées		고급 제어	Erweiterte Steuerung	Erweiterte Steuerung	Temperatura:	Controles avançados	Controles avançados	Avancerade Kontroller			Geavanceerde controles	Расширенные элементы управления	最新のコントロール							Erweiterte Steuerung		Pokročilé ovládání	Edistyneet säädöt	最新のコントロール
sidePanel_printerStatus.ambientLabel 	Ambient	仓内环境	環境	 Ambiente	Ambiante		실내	Umgebung	Umgebung	Tiempo	Ambiente	Ambiente	Omgivande			Omgeving	Окружающий	環境							Umgebung		Okolní	Ympäristö	環境
sidePanel_printerStatus.bedLabel 	Bed	打印床	床	 Letto	Châssis	Surface d'impression	베드	Bett	Druckbett	Estado	Base	Base	Plattform			Plateau	Платформа	印刷台							Bett		Podložka	Alusta	印刷台
sidePanel_printerStatus.connected	Connected	连接	已連接	Collegato	Connecté		연결됨	Verbunden	Verbunden	Ambiente	Conectado	Conectado	Ansluten			Verbonden	Подключено	接続した							Verbunden		Připojeno	Kytketty	接続した
sidePanel_printerStatus.doorStatusLabel 	Door:	保护盖:	門：	 Sportello:	Clapet :	Couvercle:	도어:	Tür:	Tür:	Auto	Porta:	Porta:	Dörr:			Deur	Дверца:	ドア							Tür:		Dvířka:	Luukku:	ドア
sidePanel_printerStatus.fanLabel 	Fan	风扇	風扇	 Ventola	Ventilateur		팬	Lüfter	Lüfter	Cama	Ventoinha / Ventilador	Ventilador	Fläkt			Ventilator	Вентилятор	ファン							Lüfter		Ventilátor	Tuuletin	ファン
sidePanel_printerStatus.filamentLoaded	Filament loaded	安装耗材	已安裝膠線耗材	Filamento caricato	Filament chargé		필라멘트 로딩됨	Filament geladen	Filament geladen	Borde (perímetros)	Filamento carregado	Filamento carregado	Filament laddat			Draad geladen	Нить загружена	フィラメントは装着されている							Filament geladen		Struna zavedena	Filamentti ladattu	フィラメントは装着されている
sidePanel_printerStatus.filamentNotLoaded	Filament not loaded	未安装耗材	膠線耗材未安裝	Filamento non caricato	Filament non chargé		필라멘트 로딩되지 않음	Filament nicht geladen	Filament nicht geladen	Elija una impresora	Filamento não carregado	Filamento não carregado	Filament ej laddat			Draad niet geladen	Нить не загружена	フィラメントは装着されていない							Filament nicht geladen		Struna nezavedena	Filamenttia ei ladattu	フィラメントは装着されていない
